"";"Match Id";"Match day of the week";"Match day of the month";"Match month";"Match year";"Match Name";"Match Stage";"Match Type";"Match Time";"Match Score Type";"Match Note";"Team1";"Score";"Elo Number";"Team2";"Score.1";"Elo Number.1";"Betting line"
"2033";125;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group A";"9:30 PM IST";"final";"Bo1";"AKATSUKI";"0";NA;"Uruguay 3";"1";NA;NA
"2063";126;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group A";"9:30 PM IST";"final";"Bo1";"InetGamer";"1";NA;"Team Jbzz";"0";NA;NA
"2113";127;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group B";"11:30 PM IST";"final";"Bo1";"Washed Players";"1";NA;"IDDQD v2";"0";NA;NA
"2196";128;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group B";"11:30 PM IST";"final";"Bo1";"BlackBelts";"0";NA;"HypHypHyp";"1";NA;NA
"2236";129;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group B";"11:30 PM IST";"forfeited by IDDQD v2";"Bo1";"BlackBelts";"0";NA;"IDDQD v2";"0";NA;NA
"2314";130;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group B";"11:30 PM IST";"final";"Bo1";"HypHypHyp";"1";NA;"Washed Players";"0";NA;NA
"2430";131;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group B";"10:30 PM IST";"forfeited by IDDQD v2";"Bo1";"IDDQD v2";"0";NA;"HypHypHyp";"0";NA;NA
"2490";132;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group B";"10:30 PM IST";"final";"Bo1";"BlackBelts";"1";NA;"Washed Players";"0";NA;NA
"2578";133;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group B";"9:30 PM IST";"final";"Bo1";"HypHypHyp";"0";NA;"BlackBelts";"1";NA;NA
"2603";134;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group B";"9:30 PM IST";"forfeited by IDDQD v2";"Bo1";"IDDQD v2";"0";NA;"Washed Players";"0";NA;NA
"2645";135;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group C";"11:30 PM IST";"final";"Bo1";"StartedFromCS";"0";NA;"Prodigy";"1";NA;NA
"2656";136;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group C";"11:30 PM IST";"final";"Bo1";"SuperStars";"1";NA;"LEMONn";"0";NA;NA
"2660";137;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group C";"11:30 PM IST";"final";"Bo1";"SuperStars";"0";NA;"Prodigy";"1";NA;NA
"2663";138;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group C";"11:30 PM IST";"final";"Bo1";"LEMONn";"0";NA;"StartedFromCS";"1";NA;NA
"2696";139;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group C";"10:30 PM IST";"final";"Bo1";"SuperStars";"0";NA;"StartedFromCS";"1";NA;NA
"2740";140;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group C";"10:30 PM IST";"final";"Bo1";"Prodigy";"1";NA;"LEMONn";"0";NA;NA
"2771";141;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group C";"9:30 PM IST";"final";"Bo1";"Prodigy";"1";NA;"StartedFromCS";"0";NA;NA
"2792";142;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group C";"9:30 PM IST";"final";"Bo1";"LEMONn";"0";NA;"SuperStars";"1";NA;NA
"2832";143;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group D";"9:30 PM IST";"final";"Bo1";"LUJAika";"1";NA;"DPE";"0";NA;NA
"2881";144;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group D";"11:30 PM IST";"final";"Bo1";"fish123";"1";NA;"OldTownRoad";"0";NA;NA
